　ID,コードネーム,曲名,ループ位置（サンプル）
0,null,なし,0
1,null,system01,0
2,opening,オープニング,0
3,title,タイトル,0
4,ending,エンディング,0
5,opening2,オープニング2,0
6,dollGet,人形入手,0
7,title2,タイトル2,0
8,itemGet,道具入手,0
9,impItemGet,大切な道具入手,0
10,recovery,回復,0
11,sotonosekai,外の世界,2400
12,michi01,道1,330750
13,michi02,道2,160363
14,michi03,道3,793800
15,null,道4,0
16,null,道5,0
17,null,道6,0
18,null,道7,0
19,null,道8,0
20,hitozato,人里,88200
21,kyuukei,休憩所,178262
22,korindo,香霖堂,170710
23,hakureijinja,博麗神社,352800
24,urayama,博麗神社裏山,1058400
25,kirinomizuumi,霧の湖,259938
26,komakan,紅魔館,517498
27,korinodokutsu,氷の洞窟,352800
28,haiyokan,廃洋館,123070
29,yokainoyama,妖怪の山,276907
30,moriyajinja,守矢神社,151008
31,tengunosato,天狗の里,1511998
32,genbunosawa,玄武の沢,208895
33,mayohiga,マヨヒガ,150818
34,yumeikekkai,幽冥結界,0
35,tenkai,天界,308700
36,meikai,冥界,245518
37,saigyoayakasi,西行妖,164103
38,chitei,地底基本,545583
39,kyuto,旧都,298141
40,chireiden,地霊殿,67716
41,syakunetsu,灼熱地獄跡地,72164
42,mahonomori,魔法の森,1782567
43,chikurin,迷いの竹林,189000
44,eientei,永遠亭,1164240
45,tsukinomiyako,月の都,987313
46,muenduka,無縁塚,164309
47,taiyonohatake,太陽の畑,170314
48,suzuranbatake,鈴蘭畑,182483
49,myorenji,命蓮寺,240545
50,daisibyo,大祀廟,0
51,shinrebyo,神霊廟,1811936
52,kishinjo,輝針城,198450
53,makai,魔界,517696
54,pandemonium,パンデモニウム,622588
55,urayamaD,博麗神社裏山洞窟,682172
56,hyousetu,氷雪世界,383479
57,yumenosekai,夢の世界,412363
58,genmukai,幻夢界,245700
59,mugenkan,夢幻館,175103
60,null,null,0
61,komachika,紅魔館地下,1819125
62,null,null,0
63,butokaiB,舞闘会強敵戦,180409
64,reimu,霊夢登場,645366
65,marisa,魔理沙登場,630000
66,yuuka,幽香登場,211680
67,null,field57,0
68,jigoku,地獄,236250
69,mugensekai,夢幻世界,302400
70,null,field60,0
71,kyuuYB,旧作野生戦,326666
72,kyuuB,旧作人形使い戦,311294
73,furannB,フラン戦,1593292
74,hifuuB,秘封倶楽部戦,240545
75,h_found,人間に見つかった！,352800
76,k_found,妖怪に見つかった！,294000
77,s_found,妖精に見つかった！,165375
78,r_found,幽霊に見つかった！,236955
79,e_found,悪いやつに見つかった！,258147
80,wildB,通常野生戦,969174
81,mobB,モブ戦,352800
82,uniqueB,ユニーク戦,470400
83,bossB,ユニークボス戦,529200
84,nksB1,人形解放戦線下っ端戦,200962
85,nksB2,人形解放戦線幹部戦,135692
86,nksB3,メディスン戦,264071
87,nksB4,幽香戦,124518
88,reimuB,霊夢戦,743212
89,marisaB,魔理沙戦,246139
90,makaiB,パンデモニウム戦,267949
91,lastB,神綺戦,1117301
92,wildMoriB,森野生戦,669874
93,wildDoukutuB,洞窟野生戦,255036
94,wildYamaB,山野生戦,580830
95,netDollSelect,通信選択画面,176400
96,mugensimaiB,夢幻姉妹戦,979999
97,seijaB,正邪戦,176913
98,wildKanjuB,紺珠伝野生戦,137140
99,yukariB,紫戦,738418
100,wildW,野生戦勝利,223606
101,mobW,モブ戦勝利,220500
102,uniqueW,ユニーク戦勝利,311294
103,nksW,ユニーク戦勝利,311294
104,reimuW,ユニーク戦勝利,311294
105,lastW,ユニーク戦勝利,311294
106,butokaiB,舞闘会強敵戦,180409
